Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,94.26254272460938,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,90.57630157470703,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,90.73832702636719,12177900
2000-01-06,139.625,141.5,137.75,137.75,89.28005981445312,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,94.46508026123047,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,94.7891616821289,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,93.65498352050781,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,92.7232437133789,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,93.97901153564453,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,95.2549819946289,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,94.50562286376953,6488500
2000-01-19,145.3125,147.0,145.0,147.0,95.27529907226562,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,93.8169937133789,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,93.61443328857422,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,90.96112060546875,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,91.9941177368164,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,91.26494598388672,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,90.9003677368164,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,88.06480407714844,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,90.45477294921875,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,91.34593963623047,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,91.42699432373047,6205900
2000-02-03,140.875,143.25,140.0,143.1875,92.80426025390625,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,92.41943359375,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,92.27767944335938,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,93.533447265625,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,91.56874084472656,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,91.75106048583984,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,89.88766479492188,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,90.4142837524414,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,91.43714141845703,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,90.0902328491211,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,89.62435150146484,7584200
2000-02-18,138.875,138.875,134.625,135.3125,87.7002182006836,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,87.47738647460938,16415400
2000-02-23,135.625,137.46875,134.5,136.5625,88.51039123535156,12119000
2000-02-24,136.6875,137.03125,133.09375,133.8125,86.72803497314453,17375000
2000-02-25,135.1875,136.71875,133.125,133.328125,86.41409301757812,10559900
2000-02-28,133.375,136.6875,132.71875,136.125,88.22684478759766,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,89.0775375366211,8242500
2000-03-01,137.625,139.0,137.21875,138.4375,89.72563934326172,6868000
2000-03-02,138.6875,139.125,137.34375,138.53125,89.78643798828125,7600200
2000-03-03,140.4375,141.71875,139.71875,141.125,91.46748352050781,12770300
2000-03-06,140.8125,141.34375,138.75,139.75,90.57630157470703,11967100
2000-03-07,140.0,140.15625,135.21875,137.046875,88.82435607910156,20062000
2000-03-08,136.46875,137.84375,135.03125,136.875,88.71292114257812,11808500
2000-03-09,137.25,140.875,136.125,140.875,91.30551147460938,5500900
2000-03-10,140.1875,142.0,139.53125,140.125,90.81938171386719,7924600
2000-03-13,136.6875,140.46875,135.6875,138.59375,89.82695007324219,10540500
2000-03-14,139.28125,140.09375,136.15625,136.625,88.5508804321289,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,90.61685943603516,10300800
2000-03-16,141.625,146.84375,140.875,146.34375,94.84993743896484,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,95.47677612304688,10272900
2000-03-20,146.875,147.34375,144.78125,146.1875,94.98944854736328,12502300
2000-03-21,145.53125,149.75,144.5,149.1875,96.93878936767578,13612600
2000-03-22,149.5625,150.84375,148.6875,150.09375,97.52764892578125,8260000
2000-03-23,149.15625,153.46875,149.15625,152.65625,99.1927261352539,11654500
2000-03-24,152.875,155.75,151.71875,153.5625,99.7816162109375,11462900
